"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 19:37:26 GMT 2023","Mon Oct 09 19:37:59 GMT 2023","32944","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [1] HATS, Brown Brim",""
"passed","Mon Oct 09 19:37:58 GMT 2023","Mon Oct 09 19:38:07 GMT 2023","8621","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToShop","navigateToShop()",""
"passed","Mon Oct 09 19:37:26 GMT 2023","Mon Oct 09 19:38:00 GMT 2023","33390","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [1] HATS, Brown Brim",""
"passed","Mon Oct 09 19:37:59 GMT 2023","Mon Oct 09 19:38:09 GMT 2023","10082","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [2] JACKETS, Black Jean Shearling",""
"passed","Mon Oct 09 19:38:08 GMT 2023","Mon Oct 09 19:38:18 GMT 2023","9865","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [4] SNEAKERS, Adidas NMD",""
"broken","Mon Oct 09 19:38:00 GMT 2023","Mon Oct 09 19:38:40 GMT 2023","40008","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [3] MENS, Camo Down Vest",""
"passed","Mon Oct 09 19:37:26 GMT 2023","Mon Oct 09 19:38:00 GMT 2023","33691","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","loginWithExistingAccount","loginWithExistingAccount(Account) [1] Account(displayName=Test, email=test+1@mail.com, password=TestPassword)",""
"passed","Mon Oct 09 19:37:26 GMT 2023","Mon Oct 09 19:37:59 GMT 2023","33071","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [3] MENS, Camo Down Vest",""
"passed","Mon Oct 09 19:38:07 GMT 2023","Mon Oct 09 19:38:17 GMT 2023","10218","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [4] SNEAKERS, Adidas NMD",""
"passed","Mon Oct 09 19:38:08 GMT 2023","Mon Oct 09 19:38:18 GMT 2023","9787","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [5] WOMENS, Blue Tanktop",""
"passed","Mon Oct 09 19:38:04 GMT 2023","Mon Oct 09 19:38:14 GMT 2023","10768","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [2] JACKETS, Black Jean Shearling",""
"passed","Mon Oct 09 19:37:26 GMT 2023","Mon Oct 09 19:37:57 GMT 2023","31035","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToSignIn","navigateToSignIn()",""
"passed","Mon Oct 09 19:38:09 GMT 2023","Mon Oct 09 19:38:19 GMT 2023","9669","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [5] WOMENS, Blue Tanktop",""
"passed","Mon Oct 09 19:37:26 GMT 2023","Mon Oct 09 19:38:04 GMT 2023","37316","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","signUpWithNewAccount","signUpWithNewAccount()",""
"passed","Mon Oct 09 19:38:00 GMT 2023","Mon Oct 09 19:38:08 GMT 2023","8227","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToHome","navigateToHome()",""
