"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3580","addProductToCartFromShop(Category, String) addProductToCartFromShop_MENS_Camo Down Vest","","Mon Mar 10 11:34:29 GMT 2025","passed","Mon Mar 10 11:34:33 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop"
"","30482","signUpWithNewAccount()","","Mon Mar 10 11:33:54 GMT 2025","passed","Mon Mar 10 11:34:25 GMT 2025","","org.iamalexvybornyi.playwright.test.project.LoginTest","org.iamalexvybornyi.playwright.test.project.LoginTest","signUpWithNewAccount"
"","5618","addProductToCartFromShop(Category, String) addProductToCartFromShop_JACKETS_Black Jean Shearling","","Mon Mar 10 11:34:25 GMT 2025","passed","Mon Mar 10 11:34:31 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop"
"","5851","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_HATS_Brown Brim","","Mon Mar 10 11:34:22 GMT 2025","passed","Mon Mar 10 11:34:28 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory"
"","3861","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_SNEAKERS_Adidas NMD","","Mon Mar 10 11:34:29 GMT 2025","passed","Mon Mar 10 11:34:33 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory"
"","4863","navigateToShop()","","Mon Mar 10 11:34:22 GMT 2025","passed","Mon Mar 10 11:34:27 GMT 2025","","org.iamalexvybornyi.playwright.test.project.NavigationTest","org.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToShop"
"","6466","addProductToCartFromShop(Category, String) addProductToCartFromShop_HATS_Brown Brim","","Mon Mar 10 11:34:23 GMT 2025","passed","Mon Mar 10 11:34:29 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop"
"","27405","navigateToHome()","","Mon Mar 10 11:33:54 GMT 2025","passed","Mon Mar 10 11:34:22 GMT 2025","","org.iamalexvybornyi.playwright.test.project.NavigationTest","org.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToHome"
"","4515","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_MENS_Camo Down Vest","","Mon Mar 10 11:34:27 GMT 2025","passed","Mon Mar 10 11:34:31 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory"
"","5922","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_JACKETS_Black Jean Shearling","","Mon Mar 10 11:34:23 GMT 2025","passed","Mon Mar 10 11:34:29 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory"
"","27058","navigateToSignIn()","","Mon Mar 10 11:33:54 GMT 2025","passed","Mon Mar 10 11:34:22 GMT 2025","","org.iamalexvybornyi.playwright.test.project.NavigationTest","org.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToSignIn"
"","28211","addProductToCartFromShop(Category, String) addProductToCartFromShop_SNEAKERS_Adidas NMD","","Mon Mar 10 11:33:55 GMT 2025","passed","Mon Mar 10 11:34:23 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop"
"","6212","addProductToCartFromShop(Category, String) addProductToCartFromShop_WOMENS_Blue Tanktop","","Mon Mar 10 11:34:23 GMT 2025","passed","Mon Mar 10 11:34:29 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop"
"","28376","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_WOMENS_Blue Tanktop","","Mon Mar 10 11:33:54 GMT 2025","passed","Mon Mar 10 11:34:23 GMT 2025","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory"
"","28907","loginWithExistingAccount(Account) loginWithExistingAccount_Account(displayName=Test, email=test+1@mail.com, password=TestPassword)","","Mon Mar 10 11:33:54 GMT 2025","passed","Mon Mar 10 11:34:23 GMT 2025","","org.iamalexvybornyi.playwright.test.project.LoginTest","org.iamalexvybornyi.playwright.test.project.LoginTest","loginWithExistingAccount"
